id,type,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
12371,tdpseTerbit,,LELANG AGUNAN BNI,lelangagunan.bni.co.id,Sektor Keuangan,MPY GLOBAL (UK) LTD.,2022-11-17,008521.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/b3ef75f09a354d6e204c33058673c7d2.png,TERDAFTAR,12165
12348,tdpseTerbit,,DIRGANTARA AVIATION,-,Sektor Perdagangan,PT DIRGANTARA AVIATION ENGINEERING,2022-11-17,008510.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/9262c28ac75a14b22a802b7d1ab21691.png,TERDAFTAR,12143
12330,tdpseTerbit,,SOCIOS.COM,socios.com,Sektor Teknologi Informasi dan Komunikasi,SOCIOS SERVICES BALTICS UAB,2022-11-16,008494.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/b1a7e52e7dda78e9924d6df28b7df574.png,TERDAFTAR,12126
12329,tdpseTerbit,,STEPIN - KPOP DANCE,stepin.ai,Sektor Transportasi,SIDEWALK ENTERTAINMENT,2022-11-16,008493.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/fe0399963412c7116b9da0de95db690c.png,TERDAFTAR,12123
12323,tdpseTerbit,,"SHANTOU JINJIA TRADING CO., LTD (SMIC - MARIAKALAIJ CORP)",-,Sektor Keuangan,"SHANTOU JINJIA TRADING CO., LTD.",2022-11-16,008488.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/1f6478713111b623956050ff735aea54.png,TERDAFTAR,12116
12321,tdpseTerbit,,GOLDEN KNIGHT INTERNATIONAL LIMITED,-,Sektor Keuangan,MPY GLOBAL SDN BHD,2022-11-16,008487.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/9ed34135673b38768c71f80e577fdb21.png,TERDAFTAR,12114
12320,tdpseTerbit,,NANJING SINAR MAS & ZIJIN VENTURE CAPITAL,theroyalbeachseminyak.com,Sektor Keuangan,"SHANTOU MARIA INVESTMENT CO., LTD.",2022-11-16,008484.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/19af6dd5803ca5e6502d6bd144f79636.png,TERDAFTAR,12113
12318,tdpseTerbit,,KOPERASI SOANANTO (D'COINS),dwac-ca.com,Sektor Keuangan,KOPERASI PERIKANAN PEREMPANGAN SAONANTO (KOPPERSON),2022-11-15,008483.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/7d5592bd55d1ffaab9e4a41649fb898b.png,TERDAFTAR,12111
12317,tdpseTerbit,,ADOBE.COM,adobe.com,Sektor Perdagangan,ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,2022-11-15,008482.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/54046c19d2170258776eb26a39a9efc7.png,TERDAFTAR,12110
12316,tdpseTerbit,,KOPERASI SOANANTO,banksultra.co.id,Sektor Keuangan,KOPPERSON,2022-11-15,008481.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/aaf14490069344ca5b68a4a17b442d4d.png,TERDAFTAR,12109
12315,tdpseTerbit,,BRI DANAREKSA SEKURITAS (BRIGHTS) D/H DANAREKSA SEKURITAS (D'ONE),bridanareksasekuritas.co.id,Sektor Keuangan,"SHANTOU JINJIA TRADING CO., LTD.",2022-11-15,008480.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/af696ffeaf465477bf4fa098d0551b42.png,TERDAFTAR,12108
12314,tdpseTerbit,,REJEKI MULTI CEMERLANG,banbanten.co.id,Sektor Keuangan,MPY GLOBAL SDN BHD,2022-11-15,008479.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/3e74ddb931b5055086e71701c8090156.png,TERDAFTAR,12107
