id,type,nomor_pb_umku,nama,website,sektor,nama_perusahaan,tanggal_daftar,nomor_tanda_daftar,qr_code,status_id,sistem_elektronik_id
12501,tdpseTerbit,270622005091200010001,SYNTHESIS ACADEMY,synthesisakademi.id,Sektor Teknologi Informasi dan Komunikasi,SINTESIS KOMUNIKASI INDONESIA,2022-11-25,008584.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/e974f602d0530c4eb938d918655e4518.png,TERDAFTAR,12259
12498,tdpseTerbit,812010698170400010001,CHAIROS ACADEMY,chairosacademy.id,Sektor Teknologi Informasi dan Komunikasi,CHAIROS INTERNATIONAL VENTURES,2022-11-25,008582.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/d5317d04fd49968f5b0980c127e3e8b2.png,TERDAFTAR,12257
12496,tdpseTerbit,211122012615800030001,BOKUL PAY,-,Sektor Perdagangan,LANGIT JAGAD NUSANTARA,2022-11-25,008581.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/73783b7ed6edbd767fc6d7215c056822.png,TERDAFTAR,12255
12497,tdpseTerbit,028801023239600070001,TEMAN BAKAT,psikotes.anargya.id,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",HARA ANARGYA INDONESIA,2022-11-25,008579.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/cbcedf3ab09b0b3a2ec51464ec041d64.png,TERDAFTAR,12253
12494,tdpseTerbit,201022009555800000001,ATIGAPAY,aaapay.my.id,Sektor Perdagangan,ATIGA TEKNOLOGI INDONESIA,2022-11-24,008576.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/94af80b96239dd87b1b67359c3682482.png,TERDAFTAR,12251
12492,tdpseTerbit,241122018729900070001,PT PUTRA BAKTI GROUP,-,Sektor Teknologi Informasi dan Komunikasi,PUTRA BAKTI GROUP,2022-11-24,008575.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/564136f5aad70dafd11d45b00fb5e027.png,TERDAFTAR,12249
12491,tdpseTerbit,070922015199600000001,APLIKASI APRESIA,-,Sektor Teknologi Informasi dan Komunikasi,MAKANDA APRESIA KREASI,2022-11-24,008574.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/3909f11ca39dfec2013bd8983eb0ad36.png,TERDAFTAR,12248
12489,tdpseTerbit,010322003782500010001,TERRA ASRI,terraasri.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi, Sektor Pangan",TERRA ASRI INDONESIA,2022-11-24,008573.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/a6f697b4ae7b3b4aa1a512a8c1b05d6d.png,TERDAFTAR,12246
12493,tdpseTerbit,123200069165300070002,MS GLOW SMART CLINIC,-,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",KOSMETIKA KLINIK INDONESIA,2022-11-24,008572.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/54c1b06c95c852b791589533e739c74f.png,TERDAFTAR,12250
12487,tdpseTerbit,123200069165300070001,MS SMARTCLINIC,-,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",KOSMETIKA KLINIK INDONESIA,2022-11-24,008572.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/5187c289e4449b0e7774713b58e6b0d9.png,TERDAFTAR,12244
12500,tdpseTerbit,125300055225700000002,EASYLINK,easylink.id,"Sektor Keuangan, Sektor Teknologi Informasi dan Komunikasi",SAHABAT KIRIM DIGITAL,2022-11-25,008571.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/c880aca572c50b52c9f1ad7f4742f12d.png,TERDAFTAR,12260
12499,tdpseTerbit,125300055225700000001,AYOLINX,easylink.id,"Sektor Keuangan, Sektor Teknologi Informasi dan Komunikasi",SAHABAT KIRIM DIGITAL,2022-11-25,008571.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/4700378ccef196ebebef8683aa9da2ff.png,TERDAFTAR,12258
12488,tdpseTerbit,912011503059400080001,SMARTPSC,smartpsc.id,Sektor Kesehatan,HARMONI INTEGRA,2022-11-24,008570.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/ee54fc4f503bb6da27d30c66ec301d99.png,TERDAFTAR,12245
12486,tdpseTerbit,130522000055700000001,BLURACK DIGITAL,blurack.co,Sektor Teknologi Informasi dan Komunikasi,FAQIIH AMRUDDIN YUSUF,2022-11-24,008569.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/b4d0f96813fa4cb3b41ca2b8d508abdb.png,TERDAFTAR,12243
12485,tdpseTerbit,129200067165900000003,SIBMT,-,Sektor Teknologi Informasi dan Komunikasi,UGT SYSTEM INTEGRATOR DEVELOPMENT,2022-11-24,008567.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/d47d643b98ca56fc796205a639db4636.png,TERDAFTAR,12242
12483,tdpseTerbit,280322005191100010001,BLIDISINI.COM,blidisini.com,Sektor Perdagangan,LANGGENG SENTOSA INVESTAMA,2022-11-23,008565.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/4be5af90d31f5460a7f6617cfe8e5a95.png,TERDAFTAR,12240
12432,tdpseTerbit,812010586155300020031,SEKAI LOYALTY,loyaltyprogram.sekaihome.co.id,Sektor Perdagangan,TRIPACIFIC ELECTRINDO,2022-11-22,008556.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/8b921c35afc5a1f092caabf4985d9196.png,TERDAFTAR,12225
12427,tdpseTerbit,140922006261100010001,PLATFORM DIGITAL INFINID,infinid.id,Sektor Teknologi Informasi dan Komunikasi,INOVASI FINANSIAL UNTUK INDONESIA,2022-11-22,008554.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/1e20f1d9115a10587c9fea2d2d38f7c5.png,TERDAFTAR,12221
12426,tdpseTerbit,150822007094600000002,LIBURANTERUS.COM,liburanterus.com,"Sektor Perdagangan, Sektor Teknologi Informasi dan Komunikasi",EXPERTINDO MULIASISTEMA,2022-11-21,008552.02/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/cd6b76d26ac991c30cea22ae00e848cd.png,TERDAFTAR,12220
12424,tdpseTerbit,150822007094600000001,LIBURAN TERUS,liburanterus.com,Sektor Perdagangan,EXPERTINDO MULIASISTEMA,2022-11-21,008552.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/512715a6f97ea0d1e10dbdf629a434c8.png,TERDAFTAR,12218
12417,tdpseTerbit,122700014235400010001,PIAWAY,piaway.id,"Sektor Keuangan, Sektor Teknologi Informasi dan Komunikasi",SAHAMOLOGY MEDIA INVESTAMA,2022-11-21,008550.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/07d6b4055624f8f5c79e79e33c572b4e.png,TERDAFTAR,12212
12425,tdpseTerbit,912000679241200030001,IDN COUNTER,idncounter.co.id,"Sektor Perdagangan, Sektor Transportasi, Sektor Teknologi Informasi dan Komunikasi",AGRISINAR GLOBAL INDONESIA,2022-11-21,008549.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/72deb51a13f9d890c486a08f9d402a4c.png,TERDAFTAR,12219
12470,tdpseTerbit,812011708021800040002,GOGOBLI.COM,Gogobli.com,Sektor Perdagangan,GOGOBLI ASIA TEKNOLOGI,2022-11-23,008547.01/DJAI.PSE/11/2022,https://pse.kominfo.go.id/storage/images/qr_code/412c67a14b18b56b7676f0c6bdbc6c59.png,TERDAFTAR,12207
